1	leader; Amino acid biosynthesis: Threonine
2	enzyme; Amino acid biosynthesis: Threonine
3	enzyme; Amino acid biosynthesis: Threonine
4	enzyme; Amino acid biosynthesis: Threonine
7	putative transport; Transport of small molecules: Amino acids, amines
8	enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway
9	transport; Biosynthesis of cofactors, carriers: Molybdopterin
11	putative enzyme; Not classified
13	factor; Chaperones
14	factor; Chaperones
15	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related
18	transport; Transport of small molecules: Cations
19	regulator; Transport of small molecules: Cations
20	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related
21	IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related
22	structural component; Ribosomal proteins - synthesis, modification
24	putative regulator; Not classified
25	enzyme; Aminoacyl tRNA synthetases, tRNA modification
26	enzyme; Protein, peptide secretion
27	putative enzyme; Proteins - translation and modification
30	enzyme; Amino acid biosynthesis: Lysine
31	enzyme; Pyrimidine ribonucleotide biosynthesis
32	enzyme; Pyrimidine ribonucleotide biosynthesis
33	regulator; Central intermediary metabolism: Pool, multipurpose conversions
34	putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions
35	enzyme; Degradation of small molecules: Amines
36	putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions
37	enzyme; Central intermediary metabolism: Pool, multipurpose conversions
38	putative regulator; Central intermediary metabolism: Pool, multipurpose conversions
39	putative transport; Central intermediary metabolism: Pool, multipurpose conversions
40	putative enzyme; Energy metabolism, carbon: Electron transport
41	putative enzyme; Energy metabolism, carbon: Electron transport
42	putative carrier; Energy metabolism, carbon: Electron transport
43	putative carrier; Not classified
44	putative transport; Not classified
45	putative enzyme; Not classified
46	transport; Transport of small molecules: Cations
47	enzyme; Biosynthesis of cofactors, carriers: Folic acid
48	enzyme; Salvage of nucleosides and nucleotides
50	enzyme; rRNA modification; drug/analog sensitivity
51	enzyme; Biosynthesis of cofactors, carriers: Pyridoxine
52	phenotype; Not classified
53	phenotype; Adaptations, atypical conditions
54	factor; Chaperones
56	enzyme; rRNA modification; tRNA modification
57	putative enzyme; RNA synthesis, modification, DNA transcription
58	enzyme; DNA - replication, repair, restriction/modification
59	enzyme; Degradation of small molecules: Carbon compounds
60	enzyme; Degradation of small molecules: Carbon compounds
61	enzyme; Degradation of small molecules: Carbon compounds
62	regulator; Degradation of small molecules: Carbon compounds
64	transport; Transport of small molecules: Other
66	transport; Transport of small molecules: Other
67	transport; Not classified
69	putative transport; Not classified
70	enzyme; Amino acid biosynthesis: Leucine
71	enzyme; Amino acid biosynthesis: Leucine
