1	ECK0001
1	JW4367
2	ECK0002
2	Hs
2	JW0001
2	thrA1
2	thrA2
2	thrD
3	ECK0003
3	JW0002
4	ECK0004
4	JW0003
5	ECK0005
5	JW0004
6	ECK0006
6	JW0005
7	ECK0007
7	JW0006
8	ECK0008
8	JW0007
8	yaaK
9	bisD
9	chlG
9	ECK0009
9	JW0008
9	mogA
9	yaaG
10	ECK0010
10	JW0009
10	yaaH
11	ECK0011
11	JW0010
12	ECK0013
12	JW0012
13	ECK0014
13	groPAB
13	groPC
13	groPF
13	grpC
13	grpF
13	JW0013
13	seg
14	ECK0015
14	faa
14	groP
14	grpC
14	JW0014
15	ECK0016
16	ECK4466
16	gefL
17	ECK0018
17	gef
17	JW5879
18	ant
18	antA
18	ECK0020
18	JW0018
19	antO
19	ECK0021
19	JW0019
19	yaaB
20	ECK0022
21	ECK0023
22	ECK0024
22	JW0022
22	sup
23	ECK0025
23	JW5003
24	ECK0026
24	JW0023
24	yaaC
25	ECK0027
25	ilvS
25	JW0024
26	ECK0028
26	JW0025
27	ECK0029
27	JW0026
27	slpA
27	yaaD
28	ECK0030
28	JW0027
28	lytB
28	yaaE
29	ECK0031
29	JW0028
29	yaaF
30	ECK0032
30	JW0029
31	arg
31	cap
31	ECK0033
31	JW0030
31	pyrA
32	cap
32	ECK0034
32	JW0031
32	pyrA
33	ECK0035
33	JW0033
34	ECK0036
34	JW5004
35	ECK0037
35	JW0035
35	yaaL
36	ECK0038
36	JW0036
36	yaaM
37	ECK0039
37	JW0037
37	yaaN
38	ECK0040
38	JW0038
38	yaaO
39	ECK0041
39	JW0039
39	yaaP
40	ECK0042
40	JW0040
40	yaaQ
41	ECK0043
41	JW0041
41	yaaR
42	ECK0044
42	JW0042
42	yaaS
43	ECK0045
43	JW0043
43	yaaT
44	ECK0046
44	JW0044
44	yabE
45	ECK0047
45	JW0045
45	yabF
46	ECK0048
46	JW0046
46	trkC
47	ECK0049
47	JW0047
47	tmrA
48	cfcB
48	ECK0050
48	JW0048
49	corD
49	ECK0051
49	JW0049
49	temP
50	ECK0052
50	JW0050
50	ksgA
51	ECK0053
51	JW0051
52	ECK0054
52	JW0052
53	ECK0055
53	imp
53	JW0053
53	ostA
53	yabG
54	ECK0056
54	JW0054
54	yabH
55	ECK0057
55	JW0055
55	yabQ
56	ECK0059
56	JW0057
56	yabO
57	ECK0060
57	hepA
57	JW0058
57	yabA
58	dinA
58	ECK0061
58	JW0059
59	ECK0062
59	JW0060
60	ECK0063
60	JW0061
61	ECK0064
61	JW0062
62	ECK0065
62	JW0063
63	ECK0066
63	JW5005
64	ECK0067
64	JW0065
64	sfuC
64	yabJ
65	ECK0068
65	JW0066
65	sfuB
65	yabK
66	ECK0069
